benchmark	mean_s	stddev_s
bicg.wasm	0.010	0.001
2mm.wasm	0.228	0.003
3mm.wasm	0.419	0.002
adi.wasm	0.400	0.003
atax.wasm	0.011	0.001
cholesky.wasm	1.386	0.008
correlation.wasm	0.156	0.001
covariance.wasm	0.155	0.001
doitgen.wasm	0.086	0.002
durbin.wasm	0.005	0.001
fdtd-2d.wasm	0.357	0.002
floyd-warshall.wasm	3.101	N/A
gemm.wasm	0.186	0.002
gemver.wasm	0.015	0.002
gesummv.wasm	0.006	0.001
gramschmidt.wasm	0.245	0.002
heat-3d.wasm	0.579	0.006
jacobi-1d.wasm	0.003	0.000
jacobi-2d.wasm	0.439	0.003
lu.wasm	1.578	N/A
ludcmp.wasm	1.511	N/A
mvt.wasm	0.011	0.001
nussinov.wasm	0.331	0.002
seidel-2d.wasm	0.524	0.005
symm.wasm	0.158	0.010
syr2k.wasm	0.190	0.005
syrk.wasm	0.110	0.003
trisolv.wasm	0.006	0.001
trmm.wasm	0.075	0.001
