benchmark	mean_s	stddev_s
bicg.wasm	0.175	0.003
2mm.wasm	5.604	N/A
3mm.wasm	9.487	N/A
adi.wasm	10.346	N/A
atax.wasm	0.179	0.003
cholesky.wasm	31.055	N/A
correlation.wasm	2.767	N/A
covariance.wasm	2.962	N/A
doitgen.wasm	2.354	N/A
durbin.wasm	0.091	0.002
fdtd-2d.wasm	8.772	N/A
floyd-warshall.wasm	53.648	N/A
gemm.wasm	4.449	N/A
gemver.wasm	0.277	0.005
gesummv.wasm	0.092	0.003
gramschmidt.wasm	4.675	N/A
heat-3d.wasm	16.703	N/A
jacobi-1d.wasm	0.042	0.004
jacobi-2d.wasm	10.847	N/A
lu.wasm	35.417	N/A
ludcmp.wasm	33.761	N/A
mvt.wasm	0.181	0.004
nussinov.wasm	8.039	N/A
seidel-2d.wasm	13.984	N/A
symm.wasm	3.345	N/A
syr2k.wasm	4.288	N/A
syrk.wasm	2.926	N/A
trisolv.wasm	0.064	0.004
trmm.wasm	1.953	N/A
