benchmark	mean_s	stddev_s
atax.wasm	0.350	N/A
bicg.wasm	0.340	N/A
correlation.wasm	5.940	N/A
2mm.wasm	15.770	N/A
3mm.wasm	20.130	N/A
adi.wasm	21.910	N/A
cholesky.wasm	66.260	N/A
covariance.wasm	6.240	N/A
doitgen.wasm	4.710	N/A
durbin.wasm	0.190	N/A
fdtd-2d.wasm	18.730	N/A
floyd-warshall.wasm	118.170	N/A
gemm.wasm	9.460	N/A
gemver.wasm	0.560	N/A
gesummv.wasm	0.190	N/A
gramschmidt.wasm	10.100	N/A
heat-3d.wasm	35.550	N/A
jacobi-1d.wasm	0.070	N/A
jacobi-2d.wasm	23.320	N/A
lu.wasm	75.690	N/A
ludcmp.wasm	71.670	N/A
mvt.wasm	0.370	N/A
nussinov.wasm	17.480	N/A
seidel-2d.wasm	29.230	N/A
symm.wasm	7.220	N/A
syr2k.wasm	9.360	N/A
syrk.wasm	6.120	N/A
trisolv.wasm	0.120	N/A
trmm.wasm	3.940	N/A
